"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8815","Valid Login","firefox","Sat Aug 16 16:39:33 BST 2025","passed","Sat Aug 16 16:39:42 BST 2025","Login","tests\features\login.feature.spec.js","",""
"","6808","Valid Login","chromium","Sat Aug 16 16:39:33 BST 2025","passed","Sat Aug 16 16:39:40 BST 2025","Enviroment Login","tests\features\environment.feature.spec.js","",""
"","4303","Valid Login","webkit","Sat Aug 16 16:39:45 BST 2025","passed","Sat Aug 16 16:39:49 BST 2025","Login","tests\features\login.feature.spec.js","",""
"","8434","Valid Login","firefox","Sat Aug 16 16:39:34 BST 2025","passed","Sat Aug 16 16:39:43 BST 2025","Enviroment Login","tests\features\environment.feature.spec.js","",""
"","4295","Valid Login","webkit","Sat Aug 16 16:39:45 BST 2025","passed","Sat Aug 16 16:39:49 BST 2025","Enviroment Login","tests\features\environment.feature.spec.js","",""
"","7031","Valid Login","chromium","Sat Aug 16 16:39:33 BST 2025","passed","Sat Aug 16 16:39:40 BST 2025","Login","tests\features\login.feature.spec.js","",""
